id,title,priority,effort,labels,area,files,summary
B1,Explicit included-host counts per tier (Pro=1 Max=3),P1,S,"billing,pricing,revenue","packages/pricing/src/plans.ts; apps/landing/src/data/pricing.ts","Add includedHosts per tier so multi-node clusters don't hit surprise overage; surface on landing + in-app billing card. Kills the #1 pricing sticker-shock risk."
B2,Replica = 0.5 billable host,P2,M,"billing,pricing","packages/pricing/src/plans.ts; apps/dashboard/src/lib/billing/entitlements.ts","Bill a detected replica as 0.5 host (copy pganalyze). Requires replica detection from system.replicas."
B3,BYOK on Free/Pro for the AI advisor,P1,M,"billing,ai","apps/dashboard (AI agent config)","Allow user-supplied model API key; skip included-credit metering when BYOK active. Expands funnel + protects margin. Measure BYOK vs included-credit conversion."
B4,$199 Fleet mid-anchor tier (experiment),P2,M,"billing,pricing,experiment","packages/pricing/src/plans.ts","Optional tier for 5-10 host clusters (5 hosts included). Ship behind experiment flag; A/B vs Max + overage."
B5,Annual billing (~2 months free) end-to-end,P2,S,"billing,revenue","packages/pricing/src/plans.ts; apps/dashboard billing","Wire the annual SKU end-to-end after Plan 17 e2e tests pass (yearly = 10x monthly)."
S1,SEO: error-page cluster (4 pages),P1,M,"seo,content,marketing","apps/blog/src/content/blog; apps/landing/src","too-many-parts, MEMORY_LIMIT_EXCEEDED, memory limit total exceeded, merges-slower-than-inserts. Real diagnostic SQL + expected output + one-click demo. Lowest difficulty, highest intent."
S2,SEO: flagship system.query_log slow-query how-to,P1,M,"seo,content,marketing","apps/blog/src/content/blog","The SEO page IS the product workflow. Exact query_duration_ms>5000 query + GIF of chmonitor surfacing it."
S3,SEO: optimization hub (6 interlinked pages + pillar),P2,L,"seo,content","apps/blog/src/content/blog; apps/landing/src","Partition keys, granularity, PREWHERE vs WHERE, projections vs MVs, skip indices, external GROUP BY. Interlinked hub + pillar page."
S4,SEO: near-ICP comparison pages,P2,M,"seo,content","apps/landing/src","ClickHouse vs TimescaleDB, vs Postgres (analytics), vs Druid/Pinot only."
S5,SEO: OG images + meta audit + Lighthouse pass,P1,S,"seo,perf","apps/landing; apps/blog","Extend Plans 69/70 across the new pages."
M1,Product-analytics funnel + founder dashboard,P0,M,"analytics,growth","apps/dashboard; apps/telemetry","Track install -> connect -> first advisor rec -> paywall hit -> upgrade. Baseline stars/installs/followers. Do first. Extends Plan 62."
M2,5-min-of-ClickHouse blog engine (first 8 posts),P1,L,"content,marketing","apps/blog","8 cornerstone posts, each -> 5-min video + X thread + Slack snippet. Extends Plan 67."
M3,MCP registry listings + one-command install,P1,S,"mcp,distribution,marketing","apps/mcp; README.md","List on official MCP Registry, PulseMCP, cursor.directory, Smithery/Glama. Add claude mcp add + Cursor snippet to README."
M4,README-as-landing-page + awesome-clickhouse PR,P1,S,"marketing,oss","README.md","Hero GIF of advisor, quickstart, before/after benchmark. PR onto awesome-clickhouse; on-ramp from duyet/clickhouse-monitoring."
M5,Zero-signup local diagnostics CLI,P2,M,"cli,growth","rust/","CLI runs system.query_log/system.parts diagnostics locally with no account. Show HN artifact."
